latitud,longitud,property_surface_total,property_surface_covered
-34.573855,-58.42234154,26.0,26.0
-34.5965853,-58.3755022,95.0,52.0
-34.5834155,-58.4225445,84.0,84.0
-34.61367,-58.407122,23.0,23.0
-34.6007726,-58.4812249,119.0,66.0
-34.6283524,-58.4298975,43.0,36.0
-34.5822256,-58.4329904,166.0,166.0
-34.5807693,-58.430812,46.0,46.0
-34.573855,-58.42234154,40.0,34.0
-34.5867097,-58.4190972,39.0,35.0
-34.5683102671,-58.4712553024,33.0,33.0
-34.573547,-58.4743559,60.0,55.0
-34.586465,-58.424151,45.0,45.0
-34.6183187,-58.3744348,50.0,50.0
-34.6056949,-58.5061967,225.0,177.0
-34.5573965,-58.4706983,47.0,40.0
-34.5667546,-58.4923722,42.0,39.0
-34.599054,-58.4502012,75.0,75.0
-34.5943795,-58.3786588,423.0,406.0
-34.60424664,-58.49067708,49.0,42.0
-34.6125336,-58.4535294,47.0,40.0
-34.597404,-58.423818,40.0,30.0
-34.5974321,-58.4417524,74.0,62.0
-34.6136338158,-58.5053952735,32.0,32.0
-34.5923326,-58.4029525,88.0,76.0
-34.6007636,-58.4321849,64.0,64.0
-34.5643648135,-58.4833577266,78.0,50.0
-34.6383284,-58.4411349,214.0,153.0
-34.6095506,-58.3634971,69.0,59.0
-34.5867194,-58.3960124,164.0,135.0
-34.6165036,-58.4089169,59.0,54.0
-34.5825696,-58.4248611,52.0,52.0
-34.564736,-58.463882,120.0,110.0
-34.5460605,-58.4757661,142.0,54.0
-34.569055,-58.4453395,46.0,43.0
-34.6235524,-58.4143655,167.0,137.0
-34.5688954,-58.4318265,35.0,31.0
-34.592979,-58.38763,220.0,207.0
-34.5628094,-58.4767578,88.0,88.0
-34.5802803,-58.4336319,45.0,45.0
-34.5993555,-58.416177,47.0,36.0
-34.5849647,-58.4543425,36.0,36.0
-34.6019662,-58.4312856,51.0,46.0
-34.5909907,-58.3964855,35.0,35.0
-34.5773672,-58.4392644,90.0,90.0
-34.5504025,-58.4698028,39.0,38.0
